date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:30:27	208/208	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2028%20May%202018%2008:30:27%20GMT	http://webpages.charter.net/robots.txt		(from )
01:30:27	1055/1055	---M--	200	added ('OK')	text/html	etag:%221724229-41f-443190d866ec0%22	http://webpages.charter.net/manauser/	I:/SavedSites/ManaUser/webpages.charter.net/manauser/index.html	(from )
01:30:27	148/148	---M--	200	added ('OK')	image/gif	etag:%2212432ef-94-2ee52d94f4080%22	http://webpages.charter.net/icons/blank.gif	I:/SavedSites/ManaUser/webpages.charter.net/icons/blank.gif	(from http://webpages.charter.net/manauser/)
01:30:28	216/216	---M--	200	added ('OK')	image/gif	etag:%2212432ea-d8-2ee52d93ffe40%22	http://webpages.charter.net/icons/back.gif	I:/SavedSites/ManaUser/webpages.charter.net/icons/back.gif	(from http://webpages.charter.net/manauser/)
01:30:28	1055/1055	---M--	200	added ('OK')	text/html	etag:%221724229-41f-443190d866ec0%22	http://webpages.charter.net/manauser/?C=N;O=D	I:/SavedSites/ManaUser/webpages.charter.net/manauser/indexc052.html	(from http://webpages.charter.net/manauser/)
01:30:28	309/309	---M--	200	added ('OK')	image/gif	etag:%221243309-135-2ee52da342240%22	http://webpages.charter.net/icons/image2.gif	I:/SavedSites/ManaUser/webpages.charter.net/icons/image2.gif	(from http://webpages.charter.net/manauser/)
01:30:28	1149/1149	---M--	200	added ('OK')	image/gif	etag:%221724228-47d-405d09ea82a00%22	http://webpages.charter.net/manauser/email.gif	I:/SavedSites/ManaUser/webpages.charter.net/manauser/email.gif	(from http://webpages.charter.net/manauser/)
01:30:29	225/225	---M--	200	added ('OK')	image/gif	etag:%2212432fe-e1-2ee52d9e7d700%22	http://webpages.charter.net/icons/folder.gif	I:/SavedSites/ManaUser/webpages.charter.net/icons/folder.gif	(from http://webpages.charter.net/manauser/)
01:30:29	1055/1055	---M--	200	added ('OK')	text/html	etag:%221724229-41f-443190d866ec0%22	http://webpages.charter.net/manauser/?C=M;O=A	I:/SavedSites/ManaUser/webpages.charter.net/manauser/indexf8a0.html	(from http://webpages.charter.net/manauser/)
01:30:29	1055/1055	---M--	200	added ('OK')	text/html	etag:%221724229-41f-443190d866ec0%22	http://webpages.charter.net/manauser/?C=S;O=A	I:/SavedSites/ManaUser/webpages.charter.net/manauser/indexbfec.html	(from http://webpages.charter.net/manauser/)
01:30:29	1055/1055	---M--	200	added ('OK')	text/html	etag:%221724229-41f-443190d866ec0%22	http://webpages.charter.net/manauser/?C=D;O=A	I:/SavedSites/ManaUser/webpages.charter.net/manauser/index30b5.html	(from http://webpages.charter.net/manauser/)
01:30:30	3970/3970	---M--	200	added ('OK')	text/html	date:Mon,%2028%20May%202018%2008:30:30%20GMT	http://webpages.charter.net/manauser/files/	I:/SavedSites/ManaUser/webpages.charter.net/manauser/files/index.html	(from http://webpages.charter.net/manauser/)
01:30:30	7249/7249	---M--	200	added ('OK')	text/html	date:Mon,%2028%20May%202018%2008:30:30%20GMT	http://webpages.charter.net/manauser/images/	I:/SavedSites/ManaUser/webpages.charter.net/manauser/images/index.html	(from http://webpages.charter.net/manauser/)
01:30:30	2111/2111	---M--	200	added ('OK')	text/html	date:Mon,%2028%20May%202018%2008:30:30%20GMT	http://webpages.charter.net/manauser/junk/	I:/SavedSites/ManaUser/webpages.charter.net/manauser/junk/index.html	(from http://webpages.charter.net/manauser/)
01:30:30	198/198	---M--	200	added ('OK')	text/html	etag:%2217242b1-c6-40373c1b79940%22	http://webpages.charter.net/manauser/secret/	I:/SavedSites/ManaUser/webpages.charter.net/manauser/secret/index.html	(from http://webpages.charter.net/manauser/)
01:30:30	1038/1038	---M--	200	added ('OK')	image/gif	etag:%2212432f8-40e-2ee52d9aace00%22	http://webpages.charter.net/icons/compressed.gif	I:/SavedSites/ManaUser/webpages.charter.net/icons/compressed.gif	(from http://webpages.charter.net/manauser/files/)
01:30:31	3970/3970	---M--	200	added ('OK')	text/html	date:Mon,%2028%20May%202018%2008:30:31%20GMT	http://webpages.charter.net/manauser/files/?C=N;O=D	I:/SavedSites/ManaUser/webpages.charter.net/manauser/files/indexc052.html	(from http://webpages.charter.net/manauser/files/)
01:30:31	3707/3707	---M--	200	added ('OK')	application/zip	etag:%22172422a-e7b-42846b20f1fc0%22	http://webpages.charter.net/manauser/files/ChexPach.zip	I:/SavedSites/ManaUser/webpages.charter.net/manauser/files/ChexPach.zip	(from http://webpages.charter.net/manauser/files/)
01:30:31	3970/3970	---M--	200	added ('OK')	text/html	date:Mon,%2028%20May%202018%2008:30:31%20GMT	http://webpages.charter.net/manauser/files/?C=M;O=A	I:/SavedSites/ManaUser/webpages.charter.net/manauser/files/indexf8a0.html	(from http://webpages.charter.net/manauser/files/)
01:30:31	3970/3970	---M--	200	added ('OK')	text/html	date:Mon,%2028%20May%202018%2008:30:32%20GMT	http://webpages.charter.net/manauser/files/?C=S;O=A	I:/SavedSites/ManaUser/webpages.charter.net/manauser/files/indexbfec.html	(from http://webpages.charter.net/manauser/files/)
01:30:32	3970/3970	---M--	200	added ('OK')	text/html	date:Mon,%2028%20May%202018%2008:30:32%20GMT	http://webpages.charter.net/manauser/files/?C=D;O=A	I:/SavedSites/ManaUser/webpages.charter.net/manauser/files/index30b5.html	(from http://webpages.charter.net/manauser/files/)
01:30:32	229/229	---M--	200	added ('OK')	image/gif	etag:%221243329-e5-2ee52db560d00%22	http://webpages.charter.net/icons/text.gif	I:/SavedSites/ManaUser/webpages.charter.net/icons/text.gif	(from http://webpages.charter.net/manauser/files/)
01:30:33	245/245	---M--	200	added ('OK')	image/gif	etag:%22124332b-f5-2ee52db749180%22	http://webpages.charter.net/icons/unknown.gif	I:/SavedSites/ManaUser/webpages.charter.net/icons/unknown.gif	(from http://webpages.charter.net/manauser/files/)
01:30:33	629/629	---M--	200	added ('OK')	text/plain	etag:%22172422e-275-4213230768e00%22	http://webpages.charter.net/manauser/files/PH-Light.esp	I:/SavedSites/ManaUser/webpages.charter.net/manauser/files/PH-Light.esp	(from http://webpages.charter.net/manauser/files/)
01:30:33	221/221	---M--	200	added ('OK')	image/gif	etag:%221243324-dd-2ee52db378880%22	http://webpages.charter.net/icons/sound2.gif	I:/SavedSites/ManaUser/webpages.charter.net/icons/sound2.gif	(from http://webpages.charter.net/manauser/files/)
01:30:35	11310/11310	---M--	200	added ('OK')	audio/mpeg	etag:%22172422f-2c2e-473f774e31c80%22	http://webpages.charter.net/manauser/files/Random.mp3	I:/SavedSites/ManaUser/webpages.charter.net/manauser/files/Random.mp3	(from http://webpages.charter.net/manauser/files/)
01:30:37	37181/37181	---M--	200	added ('OK')	text/plain	etag:%22172422d-913d-40e204d367700%22	http://webpages.charter.net/manauser/files/ManaMod.txt	I:/SavedSites/ManaUser/webpages.charter.net/manauser/files/ManaMod.txt	(from http://webpages.charter.net/manauser/files/)
01:31:09	208771/208771	---M--	200	added ('OK')	application/zip	etag:%221724230-32f83-4347721a42240%22	http://webpages.charter.net/manauser/files/SaveKeeper.zip	I:/SavedSites/ManaUser/webpages.charter.net/manauser/files/SaveKeeper.zip	(from http://webpages.charter.net/manauser/files/)
01:31:14	1876/1876	---M--	200	added ('OK')	application/zip	etag:%221724234-754-4b0ba0568c300%22	http://webpages.charter.net/manauser/files/halloween.zip	I:/SavedSites/ManaUser/webpages.charter.net/manauser/files/halloween.zip	(from http://webpages.charter.net/manauser/files/)
01:31:14	10879/10879	---M--	200	added ('OK')	text/html	etag:%221724235-2a7f-501e5df6aa4c0%22	http://webpages.charter.net/manauser/files/layout1.html	I:/SavedSites/ManaUser/webpages.charter.net/manauser/files/layout1.html	(from http://webpages.charter.net/manauser/files/)
01:31:14	2969/2969	---M--	200	added ('OK')	text/html	etag:%221724236-b99-501e645572c40%22	http://webpages.charter.net/manauser/files/layout2.html	I:/SavedSites/ManaUser/webpages.charter.net/manauser/files/layout2.html	(from http://webpages.charter.net/manauser/files/)
01:31:15	293905/293905	---M--	200	added ('OK')	application/zip	etag:%22172422b-47c11-4c6afec6d38c0%22	http://webpages.charter.net/manauser/files/IniClean.zip	I:/SavedSites/ManaUser/webpages.charter.net/manauser/files/IniClean.zip	(from http://webpages.charter.net/manauser/files/)
01:31:16	145/145	---M--	200	added ('OK')	text/html	etag:%221724238-91-473f7811b29c0%22	http://webpages.charter.net/manauser/files/ringtone.htm	I:/SavedSites/ManaUser/webpages.charter.net/manauser/files/ringtone.html	(from http://webpages.charter.net/manauser/files/)
01:31:17	4069/4069	---M--	200	added ('OK')	audio/midi	etag:%221724239-fe5-473f7757bb300%22	http://webpages.charter.net/manauser/files/shoptune.mid	I:/SavedSites/ManaUser/webpages.charter.net/manauser/files/shoptune.mid	(from http://webpages.charter.net/manauser/files/)
01:31:27	103960/103960	---M--	200	added ('OK')	text/plain	etag:%221724233-19618-4219721b30000%22	http://webpages.charter.net/manauser/files/WORDLIST.TXT	I:/SavedSites/ManaUser/webpages.charter.net/manauser/files/WORDLIST.TXT	(from http://webpages.charter.net/manauser/files/)
01:31:28	7249/7249	---M--	200	added ('OK')	text/html	date:Mon,%2028%20May%202018%2008:31:28%20GMT	http://webpages.charter.net/manauser/images/?C=N;O=D	I:/SavedSites/ManaUser/webpages.charter.net/manauser/images/indexc052.html	(from http://webpages.charter.net/manauser/images/)
01:31:31	83687/83687	---M--	200	added ('OK')	image/jpeg	etag:%22172423a-146e7-46e10749fbb80%22	http://webpages.charter.net/manauser/images/76Kitten1.jpg	I:/SavedSites/ManaUser/webpages.charter.net/manauser/images/76Kitten1.jpg	(from http://webpages.charter.net/manauser/images/)
01:31:31	7249/7249	---M--	200	added ('OK')	text/html	date:Mon,%2028%20May%202018%2008:31:31%20GMT	http://webpages.charter.net/manauser/images/?C=M;O=A	I:/SavedSites/ManaUser/webpages.charter.net/manauser/images/indexf8a0.html	(from http://webpages.charter.net/manauser/images/)
01:31:38	172168/172168	---M--	200	added ('OK')	application/zip	etag:%221724232-2a088-42ff88238d480%22	http://webpages.charter.net/manauser/files/VirtualGodDetector11.zip	I:/SavedSites/ManaUser/webpages.charter.net/manauser/files/VirtualGodDetector11.zip	(from http://webpages.charter.net/manauser/files/)
01:31:38	7249/7249	---M--	200	added ('OK')	text/html	date:Mon,%2028%20May%202018%2008:31:39%20GMT	http://webpages.charter.net/manauser/images/?C=S;O=A	I:/SavedSites/ManaUser/webpages.charter.net/manauser/images/indexbfec.html	(from http://webpages.charter.net/manauser/images/)
01:31:41	76435/76435	---M--	200	added ('OK')	image/jpeg	etag:%22172423b-12a93-46e1074cd8240%22	http://webpages.charter.net/manauser/images/76Kitten2.jpg	I:/SavedSites/ManaUser/webpages.charter.net/manauser/images/76Kitten2.jpg	(from http://webpages.charter.net/manauser/images/)
01:31:41	7249/7249	---M--	200	added ('OK')	text/html	date:Mon,%2028%20May%202018%2008:31:41%20GMT	http://webpages.charter.net/manauser/images/?C=D;O=A	I:/SavedSites/ManaUser/webpages.charter.net/manauser/images/index30b5.html	(from http://webpages.charter.net/manauser/images/)
01:31:45	84078/84078	---M--	200	added ('OK')	image/jpeg	etag:%22172423c-1486e-46e1074ec06c0%22	http://webpages.charter.net/manauser/images/76Kitten3.jpg	I:/SavedSites/ManaUser/webpages.charter.net/manauser/images/76Kitten3.jpg	(from http://webpages.charter.net/manauser/images/)
01:31:45	189319/189319	---M--	200	added ('OK')	text/plain	etag:%221724237-2e387-48531d3ca8800%22	http://webpages.charter.net/manauser/files/multi.txt	I:/SavedSites/ManaUser/webpages.charter.net/manauser/files/multi.txt	(from http://webpages.charter.net/manauser/files/)
01:31:52	72245/72245	---M--	200	added ('OK')	image/jpeg	etag:%22172423e-11a35-46d6aa1d69c00%22	http://webpages.charter.net/manauser/images/AllKittens.jpg	I:/SavedSites/ManaUser/webpages.charter.net/manauser/images/AllKittens.jpg	(from http://webpages.charter.net/manauser/images/)
01:31:54	50580/50580	---M--	200	added ('OK')	image/jpeg	etag:%22172423f-c594-4365fc367dec0%22	http://webpages.charter.net/manauser/images/Anonymous-HackersOnSteroids.jpg	I:/SavedSites/ManaUser/webpages.charter.net/manauser/images/Anonymous-HackersOnSteroids.jpg	(from http://webpages.charter.net/manauser/images/)
01:31:57	66424/66424	---M--	200	added ('OK')	image/jpeg	etag:%221724240-10378-46d0956f6f100%22	http://webpages.charter.net/manauser/images/BWKitten1.jpg	I:/SavedSites/ManaUser/webpages.charter.net/manauser/images/BWKitten1.jpg	(from http://webpages.charter.net/manauser/images/)
01:31:57	930/930	---M--	200	added ('OK')	image/gif	etag:%221724243-3a2-4369520abce40%22	http://webpages.charter.net/manauser/images/Coin.gif	I:/SavedSites/ManaUser/webpages.charter.net/manauser/images/Coin.gif	(from http://webpages.charter.net/manauser/images/)
01:31:59	128571/128571	---M--	200	added ('OK')	image/jpeg	etag:%22172423d-1f63b-46e107519cd80%22	http://webpages.charter.net/manauser/images/76Kitten4.jpg	I:/SavedSites/ManaUser/webpages.charter.net/manauser/images/76Kitten4.jpg	(from http://webpages.charter.net/manauser/images/)
